,,P(i),sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,other category,comment
geochemicalPara,geochemical parameters,0.06666666666666667,2,6,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,,Hm; not so easy. geochemical (parameters) is not the environment of the organism; but characterizes the environment (quality of the environment?) microbial diversity is not a trait of the organism; but maybe a trait of the group
,geochemical,0.06666666666666667,2,6,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,,
,microbial diversity,0.13333333333333333,4,6,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,Ecosystem service,
,groundwater,1.0,30,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,
tiliaCordata,repository,0.06666666666666667,2,6,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,,repository could also be a kind of method for data storage/publication; or an organization
,German Tree of the Year 2016,0.2,6,6,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,,
,Tilia cordata,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
yearChange,DOC,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,,
,DIC,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,,
,year,1.0,30,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,
dataNeo,Neogloboquadrina pachyderma,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,Globigerina bulloides,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
biologicalSignals,biological signals,0.13333333333333333,4,6,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,,
rootLength,root length,0.6666666666666666,20,6,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,quantität::Trait,
,root,0.6666666666666666,20,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,plant part::Organism component or part,
temporalDynamics,temporal dynamics of fungal communities,0.6666666666666666,20,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,,
,fungal communities,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,upper aquifer,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
,lower aquifer,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,,
soilMoisture,soil moisture patterns,0.0,0,6,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,var,the first three again characterize the environment (quality of the environment?) the last two coud be events; but do not happen only once
,soil moisture,0.2,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,var::Parameter,
,shed precipitation patterns,0.0,0,6,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,var,
,shed precipitation,0.2,6,6,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,,
,precipitation,0.26666666666666666,8,6,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,,
bacteriumXY,Bacterium XY,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,metabolizing compound-class XYZ,0.2,6,6,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,?,
,metabolizing,0.4666666666666667,14,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,,
soilDepth,carbon,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,soil depth again quality of the environment?
,soil depth,0.26666666666666666,8,6,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,,
kindOfPlant,plants,0.6666666666666666,20,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,in this case plants might be the environment; not the organism
,Arthrocladiella mougeotii (Lév.) Vassilkov,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
surfaceWater,samples,0.13333333333333333,4,6,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,,
,surface water,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
marinePhages,marine phages,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,effective tracers,0.2,6,6,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,,
,particle transport,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,particle,0.6666666666666666,20,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,,
,soil,0.4666666666666667,14,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,,
,subsurface,0.4,12,6,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,,
phageTransport,the relevance of phage transport,0.26666666666666666,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,meaning?; criterion?::Wertung,ecosystem fractioning again quality of the environment?
,phage transport,1.0,30,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,
,ecosystem fractioning,0.6666666666666666,20,6,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,
,ecosystem,0.6666666666666666,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,,
,soil,0.6666666666666666,20,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,,
soilSamples,soil samples,0.13333333333333333,4,6,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,,pH & water content again quality of the environment?
,Germany,1.0,30,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,
,measurements of pH and water content,0.13333333333333333,4,6,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,,
,pH,0.2,6,6,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,Parameter - Environmental Measurement Systems,
,water content,0.2,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,Parameter - Environmental Measurement Systems,
,water,0.4,12,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,
arcticSediments,organic carbon content,0.2,6,6,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,,the first two again quality of the environment?
,organic,0.26666666666666666,8,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,,
,arctic sediments,0.26666666666666666,8,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,,
,arctic,0.6666666666666666,20,6,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,,
molecularFormular,substances,1.0,30,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,sorry; I do not know where to put the last
,specific molecular formula,0.06666666666666667,2,6,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,,
,molecular,0.06666666666666667,2,6,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,,
transportPatterns,seasonal transport patterns of microbes,0.4,12,6,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,,
,microbes,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
horizontalTran,horizontal transport of microbial communities,0.6666666666666666,20,6,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,biod. var.,
,microbial communities,0.6666666666666666,20,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,biod. var.,
,microbial,0.13333333333333333,4,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,,
autotrophicMicro,autotrophic microorganisms,1.0,30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
